id	admit	gre	rank	gpa
1	0	380	3	3.6099999
2	1	660	3	3.6700001
3	1	800	1	4
4	1	640	4	3.1900001
5	0	520	4	2.9300001
6	1	760	2	3
7	1	560	1	2.98
8	0	400	2	3.0799999
9	1	540	3	3.3900001
10	0	700	2	3.9200001
11	0	800	4	4
12	0	440	1	3.22
13	1	760	1	4
14	0	700	2	3.0799999
15	1	700	1	4
16	0	480	3	3.4400001
17	0	780	4	3.8699999
18	0	360	3	2.5599999
19	0	800	2	3.75
20	1	540	1	3.8099999
21	0	500	3	3.1700001
22	1	660	2	3.6300001
23	0	600	4	2.8199999
24	0	680	4	3.1900001
25	1	760	2	3.3499999
26	1	800	1	3.6600001
27	1	620	1	3.6099999
28	1	520	4	3.74
29	1	780	2	3.22
30	0	520	1	3.29
31	0	540	4	3.78
32	0	760	3	3.3499999
33	0	600	3	3.4000001
34	1	800	3	4
35	0	360	1	3.1400001
36	0	400	2	3.05
37	0	580	1	3.25
38	0	520	3	2.9000001
39	1	500	2	3.1300001
40	1	520	3	2.6800001
41	0	560	2	2.4200001
42	1	580	2	3.3199999
43	1	600	2	3.1500001
44	0	500	3	3.3099999
45	0	700	2	2.9400001
46	1	460	3	3.45
47	1	580	2	3.46
48	0	500	4	2.97
49	0	440	4	2.48
50	0	400	3	3.3499999
51	0	640	3	3.8599999
52	0	440	4	3.1300001
53	0	740	4	3.3699999
54	1	680	2	3.27
55	0	660	3	3.3399999
56	1	740	3	4
57	0	560	3	3.1900001
58	0	380	3	2.9400001
59	0	400	2	3.6500001
60	0	600	4	2.8199999
61	1	620	2	3.1800001
62	0	560	4	3.3199999
63	0	640	3	3.6700001
64	1	680	3	3.8499999
65	0	580	3	4
66	0	600	2	3.5899999
67	0	740	4	3.6199999
68	0	620	1	3.3
69	0	580	1	3.6900001
70	0	800	1	3.73
71	0	640	3	4
72	0	300	4	2.9200001
73	0	480	4	3.3900001
74	0	580	2	4
75	0	720	4	3.45
76	0	720	3	4
77	0	560	3	3.3599999
78	1	800	3	4
79	0	540	1	3.1199999
80	1	620	1	4
81	0	700	4	2.9000001
82	0	620	2	3.0699999
83	0	500	2	2.71
84	0	380	4	2.9100001
85	1	500	3	3.5999999
86	0	520	2	2.98
87	0	600	2	3.3199999
88	0	600	2	3.48
89	0	700	1	3.28
90	1	660	2	4
91	0	700	2	3.8299999
92	1	720	1	3.6400001
93	0	800	2	3.9000001
94	0	580	2	2.9300001
95	1	660	2	3.4400001
96	0	660	2	3.3299999
97	0	640	4	3.52
98	0	480	2	3.5699999
99	0	700	2	2.8800001
100	0	400	3	3.3099999
101	0	340	3	3.1500001
102	0	580	3	3.5699999
103	0	380	4	3.3299999
104	0	540	3	3.9400001
105	1	660	2	3.95
106	1	740	2	2.97
107	1	700	1	3.5599999
108	0	480	2	3.1300001
109	0	400	3	2.9300001
110	0	480	2	3.45
111	0	680	4	3.0799999
112	0	420	4	3.4100001
113	0	360	3	3
114	0	600	1	3.22
115	0	720	3	3.8399999
116	0	620	3	3.99
117	1	440	2	3.45
118	0	700	2	3.72
119	1	800	1	3.7
120	0	340	3	2.9200001
121	1	520	2	3.74
122	1	480	2	2.6700001
123	0	520	3	2.8499999
124	0	500	3	2.98
125	0	720	3	3.8800001
126	0	540	4	3.3800001
127	1	600	1	3.54
128	0	740	4	3.74
129	0	540	2	3.1900001
130	0	460	4	3.1500001
131	1	620	2	3.1700001
132	0	640	2	2.79
133	0	580	2	3.4000001
134	0	500	3	3.0799999
135	0	560	2	2.95
136	0	500	3	3.5699999
137	0	560	4	3.3299999
138	0	700	3	4
139	0	620	2	3.4000001
140	1	600	1	3.5799999
141	0	640	2	3.9300001
142	1	700	4	3.52
143	0	620	4	3.9400001
144	0	580	3	3.4000001
145	0	580	4	3.4000001
146	0	380	3	3.4300001
147	0	480	2	3.4000001
148	0	560	3	2.71
149	1	480	1	2.9100001
150	0	740	1	3.3099999
151	1	800	1	3.74
152	0	400	2	3.3800001
153	1	640	2	3.9400001
154	0	580	3	3.46
155	0	620	3	3.6900001
156	1	580	4	2.8599999
157	0	560	2	2.52
158	1	480	1	3.5799999
159	0	660	2	3.49
160	0	700	3	3.8199999
161	0	600	2	3.1300001
162	0	640	2	3.5
163	1	700	2	3.5599999
164	0	520	2	2.73
165	0	580	2	3.3
166	0	700	1	4
167	0	440	4	3.24
168	0	720	3	3.77
169	0	500	3	4
170	0	600	3	3.6199999
171	0	400	3	3.51
172	0	540	3	2.8099999
173	0	680	3	3.48
174	1	800	2	3.4300001
175	0	500	4	3.53
176	1	620	2	3.3699999
177	0	520	2	2.6199999
178	1	620	3	3.23
179	0	620	3	3.3299999
180	0	300	3	3.01
181	0	620	3	3.78
182	0	500	4	3.8800001
183	0	700	2	4
184	1	540	2	3.8399999
185	0	500	4	2.79
186	0	800	2	3.5999999
187	0	560	3	3.6099999
188	0	580	2	2.8800001
189	0	560	2	3.0699999
190	0	500	2	3.3499999
191	1	640	2	2.9400001
192	0	800	3	3.54
193	0	640	3	3.76
194	0	380	4	3.5899999
195	1	600	2	3.47
196	0	560	2	3.5899999
197	0	660	3	3.0699999
198	1	400	4	3.23
199	0	600	3	3.6300001
200	0	580	4	3.77
201	0	800	3	3.3099999
202	1	580	2	3.2
203	1	700	1	4
204	0	420	4	3.9200001
205	1	600	1	3.8900001
206	1	780	3	3.8
207	0	740	1	3.54
208	1	640	1	3.6300001
209	0	540	3	3.1600001
210	0	580	2	3.5
211	0	740	4	3.3399999
212	0	580	2	3.02
213	0	460	2	2.8699999
214	0	640	3	3.3800001
215	1	600	2	3.5599999
216	1	660	3	2.9100001
217	0	340	1	2.9000001
218	1	460	1	3.6400001
219	0	460	1	2.98
220	1	560	2	3.5899999
221	0	540	3	3.28
222	0	680	3	3.99
223	1	480	1	3.02
224	0	800	3	3.47
225	0	800	2	2.9000001
226	1	720	3	3.5
227	0	620	2	3.5799999
228	0	540	4	3.02
229	0	480	2	3.4300001
230	1	720	2	3.4200001
231	0	580	4	3.29
232	0	600	3	3.28
233	0	380	2	3.3800001
234	0	420	3	2.6700001
235	1	800	1	3.53
236	0	620	2	3.05
237	1	660	2	3.49
238	0	480	2	4
239	0	500	4	2.8599999
240	0	700	3	3.45
241	0	440	2	2.76
242	1	520	1	3.8099999
243	1	680	3	2.96
244	0	620	2	3.22
245	0	540	1	3.04
246	0	800	3	3.9100001
247	0	680	2	3.3399999
248	0	440	2	3.1700001
249	0	680	3	3.6400001
250	0	640	3	3.73
251	0	660	4	3.3099999
252	0	620	4	3.21
253	1	520	2	4
254	1	540	4	3.55
255	1	740	4	3.52
256	0	640	3	3.3499999
257	1	520	2	3.3
258	1	620	3	3.95
259	0	520	2	3.51
260	0	640	2	3.8099999
261	0	680	2	3.1099999
262	0	440	2	3.1500001
263	1	520	3	3.1900001
264	1	620	3	3.95
265	1	520	3	3.9000001
266	0	380	3	3.3399999
267	0	560	4	3.24
268	1	600	3	3.6400001
269	1	680	2	3.46
270	0	500	3	2.8099999
271	1	640	2	3.95
272	0	540	3	3.3299999
273	1	680	2	3.6700001
274	0	660	1	3.3199999
275	0	520	2	3.1199999
276	1	600	2	2.98
277	0	460	3	3.77
278	1	580	1	3.5799999
279	1	680	4	3
280	1	660	2	3.1400001
281	0	660	2	3.9400001
282	0	360	3	3.27
283	0	660	4	3.45
284	0	520	4	3.0999999
285	1	440	2	3.3900001
286	0	600	4	3.3099999
287	1	800	1	3.22
288	1	660	4	3.7
289	0	800	4	3.1500001
290	0	420	4	2.26
291	1	620	2	3.45
292	0	800	2	2.78
293	0	680	2	3.7
294	0	800	1	3.97
295	0	480	1	2.55
296	0	520	3	3.25
297	0	560	1	3.1600001
298	0	460	2	3.0699999
299	0	540	2	3.5
300	0	720	3	3.4000001
301	0	640	2	3.3
302	1	660	3	3.5999999
303	1	400	2	3.1500001
304	1	680	2	3.98
305	0	220	3	2.8299999
306	0	580	4	3.46
307	1	540	1	3.1700001
308	0	580	2	3.51
309	0	540	2	3.1300001
310	0	440	3	2.98
311	0	560	3	4
312	0	660	2	3.6700001
313	0	660	3	3.77
314	1	520	4	3.6500001
315	0	540	4	3.46
316	1	300	2	2.8399999
317	1	340	2	3
318	1	780	4	3.6300001
319	1	480	4	3.71
320	0	540	1	3.28
321	0	460	3	3.1400001
322	0	460	2	3.5799999
323	0	500	4	3.01
324	0	420	2	2.6900001
325	0	520	3	2.7
326	0	680	1	3.9000001
