periodo	uf	
Aug.1977	395,88	
Sep.1977	410,60	
Oct.1977	425,05	
Nov.1977	441,18	
Dec.1977	457,39	
Jan.1978	468,90	
Feb.1978	481,42	
Mar.1978	491,29	
Apr.1978	503,55	
May.1978	517,75	
Jun.1978	530,52	
Jul.1978	541,69	
Aug.1978	553,28	
Sep.1978	567,33	
Oct.1978	583,40	
Nov.1978	598,68	
Dec.1978	609,40	
Jan.1979	617,79	
Feb.1979	627,84	
Mar.1979	640,76	
Apr.1979	653,11	
May.1979	670,87	
Jun.1979	688,08	
Jul.1979	705,42	
Aug.1979	725,13	
Sep.1979	752,79	
Oct.1979	786,49	
Nov.1979	814,12	
Dec.1979	833,61	
Jan.1980	851,46	
Feb.1980	869,64	
Mar.1980	887,50	
Apr.1980	906,00	
May.1980	931,11	
Jun.1980	953,89	
Jul.1980	975,03	
Aug.1980	993,99	
Sep.1980	1.014,18	
Oct.1980	1.036,30	
Nov.1980	1.060,09	
Dec.1980	1.089,86	
Jan.1981	1.116,34	
Feb.1981	1.136,49	
Mar.1981	1.151,28	
Apr.1981	1.156,81	
May.1981	1.167,13	
Jun.1981	1.181,16	
Jul.1981	1.192,82	
Aug.1981	1.196,13	
Sep.1981	1.204,87	
Oct.1981	1.218,19	
Nov.1981	1.227,34	
Dec.1981	1.231,01	
Jan.1982	1.234,49	
Feb.1982	1.240,96	
Mar.1982	1.244,80	
Apr.1982	1.239,46	
May.1982	1.242,24	
Jun.1982	1.239,97	
Jul.1982	1.237,82	
Aug.1982	1.250,15	
Sep.1982	1.278,21	
Oct.1982	1.322,51	
Nov.1982	1.380,15	
Dec.1982	1.441,05	
Jan.1983	1.481,40	
Feb.1983	1.502,04	
Mar.1983	1.522,49	
Apr.1983	1.532,07	
May.1983	1.564,75	
Jun.1983	1.604,21	
Jul.1983	1.628,65	
Aug.1983	1.655,90	
Sep.1983	1.690,33	
Oct.1983	1.733,96	
Nov.1983	1.774,29	
Dec.1983	1.811,90	
Jan.1984	1.832,89	
Feb.1984	1.841,90	
Mar.1984	1.842,67	
Apr.1984	1.851,90	
May.1984	1.891,65	
Jun.1984	1.919,10	
Jul.1984	1.943,01	
Aug.1984	1.966,16	
Sep.1984	1.980,97	
Oct.1984	2.000,89	
Nov.1984	2.083,54	
Dec.1984	2.211,52	
Jan.1985	2.245,00	
Feb.1985	2.284,71	
Mar.1985	2.348,75	
Apr.1985	2.401,44	
May.1985	2.465,20	
Jun.1985	2.520,08	
Jul.1985	2.582,40	
Aug.1985	2.659,82	
Sep.1985	2.693,73	
Oct.1985	2.720,68	
Nov.1985	2.754,90	
Dec.1985	2.796,91	
Jan.1986	2.839,39	
Feb.1986	2.885,32	
Mar.1986	2.949,38	
Apr.1986	2.982,54	
May.1986	3.026,09	
Jun.1986	3.062,82	
Jul.1986	3.090,07	
Aug.1986	3.127,12	
Sep.1986	3.155,27	
Oct.1986	3.182,29	
Nov.1986	3.228,60	
Dec.1986	3.276,50	
Jan.1987	3.323,42	
Feb.1987	3.375,93	
Mar.1987	3.441,50	
Apr.1987	3.499,31	
May.1987	3.563,20	
Jun.1987	3.638,74	
Jul.1987	3.687,23	
Aug.1987	3.723,91	
Sep.1987	3.782,44	
Oct.1987	3.841,17	
Nov.1987	3.917,87	
Dec.1987	4.006,58	
Jan.1988	4.066,54	
Feb.1988	4.085,02	
Mar.1988	4.110,11	
Apr.1988	4.142,74	
May.1988	4.207,49	
Jun.1988	4.239,44	
Jul.1988	4.262,39	
Aug.1988	4.282,21	
Sep.1988	4.294,94	
Oct.1988	4.329,49	
Nov.1988	4.374,71	
Dec.1988	4.444,37	
Jan.1989	4.528,23	
Feb.1989	4.603,26	
Mar.1989	4.644,29	
Apr.1989	4.672,20	
May.1989	4.747,16	
Jun.1989	4.808,15	
Jul.1989	4.900,55	
Aug.1989	4.989,24	
Sep.1989	5.068,02	
Oct.1989	5.135,28	
Nov.1989	5.250,79	
Dec.1989	5.385,71	
Jan.1990	5.485,55	
Feb.1990	5.602,36	
Mar.1990	5.711,62	
Apr.1990	5.764,50	
May.1990	5.889,91	
Jun.1990	5.992,02	
Jul.1990	6.094,26	
Aug.1990	6.218,78	
Sep.1990	6.329,62	
Oct.1990	6.504,56	
Nov.1990	6.795,22	
Dec.1990	7.005,23	
Jan.1991	7.068,66	
Feb.1991	7.102,45	
Mar.1991	7.126,14	
Apr.1991	7.154,19	
May.1991	7.248,88	
Jun.1991	7.389,87	
Jul.1991	7.560,14	
Aug.1991	7.698,41	
Sep.1991	7.823,95	
Oct.1991	7.922,33	
Nov.1991	8.056,84	
Dec.1991	8.244,15	
Jan.1992	8.331,25	
Feb.1992	8.426,58	
Mar.1992	8.482,87	
Apr.1992	8.466,16	
May.1992	8.534,91	
Jun.1992	8.638,75	
Jul.1992	8.725,94	
Aug.1992	8.797,65	
Sep.1992	8.899,13	
Oct.1992	9.044,63	
Nov.1992	9.227,07	
Dec.1992	9.360,29	
Jan.1993	9.459,24	
Feb.1993	9.475,33	
Mar.1993	9.499,27	
Apr.1993	9.541,21	
May.1993	9.618,18	
Jun.1993	9.751,44	
Jul.1993	9.872,47	
Aug.1993	9.938,69	
Sep.1993	10.063,49	
Oct.1993	10.247,94	
Nov.1993	10.410,45	
